intron,SAMPLE,SGK1_status,scaledCPM
int_1,SRR8513413,Wild Type,-0.07437864029606323
int_1,SRR8513416,Exon Mutant,2.6819703534522956
int_1,SRR8513417,Wild Type,2.0886768430998215
int_1,SRR8513418,Wild Type,1.3813095912549231
int_1,SRR8513419,Wild Type,1.6117451640100888
int_1,SRR8513421,Wild Type,0.5803607887854737
int_1,SRR8513422,Intron Mutant,2.762952705518188
int_1,SRR8513423,Wild Type,0.3459839628965826
int_1,SRR8513424,Wild Type,-0.016184449678186826
int_1,SRR8513425,Wild Type,0.3494486712484413
int_1,SRR8513426,Wild Type,2.548748870390501
int_1,SRR8513427,Wild Type,1.7705635438759384
int_1,SRR8513428,Wild Type,1.2167143148648925
int_1,SRR8513429,Wild Type,-0.06749666788505794
int_1,SRR8513430,Wild Type,0.10793388050113768
int_1,SRR8513431,Wild Type,1.6632516006104479
int_1,SRR8513432,Wild Type,0.98005990173017
int_1,SRR8513433,Wild Type,0.31868304748613613
int_1,SRR8513434,Wild Type,0.7205590257925255
int_1,SRR8513435,Wild Type,2.5713682307877455
int_1,SRR8513436,Wild Type,0.7246462739252846
int_1,SRR8513437,Wild Type,0.6998526380868536
int_1,SRR8513438,Wild Type,1.8154398333697053
int_1,SRR8513439,Wild Type,1.9617632613415017
int_1,SRR8513440,Wild Type,0.7630181390155654
int_1,SRR8513441,Wild Type,1.081535946375053
int_1,SRR8513443,Wild Type,1.7655671763974934
int_1,SRR8513444,Wild Type,0.22974463915130552
int_1,SRR8513446,Wild Type,0.7952698912957449
int_1,SRR8513447,Wild Type,0.15432301343507698
int_1,SRR8513449,Wild Type,1.207395242171725
int_1,SRR8513450,Wild Type,0.47824500497455774
int_1,SRR8513451,Wild Type,2.228709794646604
int_1,SRR8513453,Wild Type,1.6781775585908927
int_1,SRR8513454,Wild Type,1.0169261613956488
int_1,SRR8513455,Wild Type,0.17608286585179414
int_1,SRR8513456,Wild Type,-0.3839265992164978
int_1,SRR8513457,Wild Type,1.769355559008174
int_1,SRR8513458,Wild Type,2.2469323046295364
int_1,SRR8513459,Wild Type,2.721873343334285
int_1,SRR8513462,Wild Type,0.9613273178340052
int_1,SRR8513463,Wild Type,0.12342659520244151
int_1,SRR8513464,Wild Type,0.10151012330687677
int_1,SRR8513465,Wild Type,0.8361423761021288
int_1,SRR8513466,Wild Type,2.087269016935945
int_1,SRR8513468,Wild Type,0.11106456653465231
int_1,SRR8513469,Wild Type,1.837170863194558
int_1,SRR8513470,Wild Type,1.8534496620028775
int_1,SRR8513471,Wild Type,2.1594643942847798
int_1,SRR8513472,Wild Type,2.439687928057604
int_1,SRR8513473,Wild Type,1.7180400390903565
int_1,SRR8513474,Wild Type,1.902438297749493
int_1,SRR8513475,Wild Type,1.8758889741240552
int_1,SRR8513476,Wild Type,0.733868306286733
int_1,SRR8513477,Wild Type,1.4354945773252532
int_1,SRR8513479,Wild Type,1.0730101430231496
int_1,SRR8513481,Wild Type,1.1708501681045533
int_1,SRR8513483,Wild Type,1.800200562788862
int_1,SRR8513484,Wild Type,-0.30151134457776363
int_1,SRR8513485,Wild Type,-0.9255137926653302
int_1,SRR8513486,Wild Type,0.33641944199894264
int_1,SRR8513487,Wild Type,1.1894271206923976
int_1,SRR8513489,Wild Type,1.3878779858713597
int_1,SRR8513490,Wild Type,0.5555111197151453
int_1,SRR8513491,Wild Type,2.2375339302592643
int_1,SRR8513493,Wild Type,0.8766214624726782
int_1,SRR8513494,Wild Type,1.295597413296541
int_1,SRR8513495,Wild Type,2.7024869413273427
int_1,SRR8513496,Wild Type,-0.08263674684522122
int_1,SRR8513497,Wild Type,1.6644684728867467
int_1,SRR8513498,Wild Type,-0.6693522252791112
int_1,SRR8513500,Wild Type,1.582403107964845
int_1,SRR8513501,Wild Type,1.3443500601124236
int_1,SRR8513502,Wild Type,-0.1962189537698408
int_1,SRR8513503,Wild Type,2.145834402489321
int_1,SRR8513504,Wild Type,0.9857324361806321
int_1,SRR8513505,Wild Type,2.4806513237543752
int_1,SRR8513506,Wild Type,1.098767365570552
int_1,SRR8513507,Wild Type,0.7336967889278225
int_1,SRR8513508,Wild Type,2.4163713531122943
int_1,SRR8513510,Wild Type,1.4156534229685127
int_1,SRR8513511,Wild Type,2.1438797614032232
int_1,SRR8513513,Wild Type,-0.7779739708546933
int_1,SRR8513514,Wild Type,0.6257328584260937
int_1,SRR8513516,Wild Type,1.04435531951995
int_1,SRR8513517,Wild Type,1.9467616948766944
int_1,SRR8513519,Wild Type,0.6445624525129436
int_1,SRR8513520,Wild Type,1.3912404732595955
int_1,SRR8513521,Wild Type,0.8391702230228955
int_1,SRR8513522,Wild Type,1.2593042265830119
int_1,SRR8513523,Wild Type,0.9359911548838453
int_1,SRR8513525,Wild Type,-0.8725289424489621
int_1,SRR8513526,Wild Type,2.1997076939314857
int_1,SRR8513527,Wild Type,2.1025043331082065
int_1,SRR8513528,Wild Type,0.5508993172626652
int_1,SRR8513529,Wild Type,0.8116890819384769
int_1,SRR8513530,Wild Type,0.30007737326958517
int_1,SRR8513531,Wild Type,-0.3929371939670597
int_1,SRR8513532,Wild Type,-0.9984832827299928
int_1,SRR8513533,Wild Type,1.634284866407212
int_1,SRR8513534,Wild Type,2.563035455713565
int_1,SRR8513535,Wild Type,2.1129700811360865
int_1,SRR8513537,Intron Mutant,1.5078248890534056
int_1,SRR8513538,Wild Type,1.7240915771729584
int_1,SRR8513539,Wild Type,0.18350644522296516
int_1,SRR8513541,Wild Type,2.0480635149043906
